CourseNum,CourseName,CreditHours,Description,GenEdAttrib,DepartmentCode,Department
101,"Art, Design, and Society",2 hours.,"This course provides an introductory forum for beginning artists, designers, art historians, and art educators to think through the motivation(s) behind their/our creative work(s), research, and practices. Through topical examinations of contemporary art, craft, design, art history scholarship, art education scholarship, and interdisciplinary projects, developing artists will sift through pertinent issues around sustainability, ethics, ecologies, pedagogies, and civic engagement in order to inform our own burgeoning motivations and creative practices. Additional fees may apply. See Class Schedule. Prerequisite: For Art+Design majors only.",,ARTE,Art--Education
573,Capstone Project,1 TO 8 hours.,"Design project pertinent to student's field of study. Student will complete a comprehensive written report, develop a website, and/or give an oral presentation that relates to his/her project. 1 to 8 graduate hours. No professional credit. May be repeated in separate terms to a maximum of 8 hours.",,ENG,Engineering
210,Environmental Economics,3 hours.,"Same as ACE 210, ECON 210, ENVS 210, and NRES 210. See ACE 210.",Social & Beh Sci - Soc Sci course.,UP,Urban and Regional Planning
270,Intro to Political Theory,3 hours.,"Introduces the nature, structure, and purposes of political theory; examines major works on the problems of political order, obedience, justice, liberty, and representation to distinguish and clarify different theoretical approaches.",Humanities - Hist & Phil course.,PS,Political Science
350,IT for Networked Organizations,3 hours.,"Examines the information technology and its impact on modern organizations. Topics include: (1) IT, Internet Technologies, E-Commerce and business models, (2) organizing and modeling enterprise data, (3) Network protocol and architecture, (4) development of IT systems, and (5) IT management and organization design.",,BADM,Business Administration
205,World Animal Resources,3 hours.,"Examination of the world's animals, domesticated and wild, and their uses in various climatic, economic and cultural contexts. Exploration of their contemporary management and their future prospects. Provides background for international experiences, such as ACES 298 and ACES 299. Prerequisite: Completion of the campus Composition I general education requirement.",Advanced Composition course.,ANSC,Animal Sciences
507,High-Performance Geospatial Computing,4 hours.,"Intended to introduce students to high-performance geospatial computing using python to resolve computational bottlenecks and produce faster and scalable solutions. Students will learn how to use Python on high-performance and parallel computing architecture. Specifically, NumPy, SciPy, Numba, and Cython will be covered to optimize and speed up geospatial computation. Students will use CyberGISX as the primary learning environment, and be expected to learn how to develop such notebooks to address computational challenges in solving geospatial problems. By the end, students will have gained solid knowledge of common Python tools for developing high-performance geospatial computing solutions that can be applied to many applications. 4 graduate hours. No professional credit. Prerequisite: GGIS 407 or equivalent.",,GGIS,Geography & Geographic Information Science
441,Radiation Protection,4 hours.,Sources of nuclear radiation; ionization and energy deposition in matter with an emphasis on biological systems; principles of dosimetry; determination of exposure and limits for internal and external emitters; basic shielding calculations. 4 undergraduate hours. 4 graduate hours. Prerequisite: NPRE 445.,,NPRE,"Nuclear, Plasma, and Radiological Engineering"
375,Criminal Justice System,3 hours.,"Exploration of the actors, institutions, and processes that make up the criminal justice system. We review sociological and other social scientific research on topics including the police, prosecutors, the courtroom work-group, forensic evidence, juries, sentencing, and the impact of mass incarceration. Grades are based on exams, research exercises, and ethnographic observations of criminal courtrooms. Prerequisite: SOC 275 is recommended.",,SOC,Sociology
631,Secured Transactions,2 TO 4 hours.,Study of secured transactions under Article 9 of the Uniform Commercial Code. 2 to 4 graduate hours. 2 to 3 professional hours.,,LAW,Law
380,Geotechnical Engineering,3 hours.,"Classification of soils, compaction in the laboratory and in the field, soil exploration, boring and sampling, permeability of soils, one-dimensional settlement analyses, strength of soil, and foundations. Prerequisite: TAM 251.",,CEE,Civil and Environmental Engineering
330,Dance Documentation,1 hours.,"This is a hands-on course for students interested in exploring the relationship between dance and camera and the fundamentals of dance documentation. Using critical and experiential approach, we will explore the technical and artistic capabilities of mini-DV cameras and film-editing software to create dance performance documentation. Students will learn to execute clear and effective camerawork in relationship to dance performance, and to utilize editing software to most clearly display the artistic intent of the choreographers and directors. May be repeated in separate terms to a maximum of 8 hours. Prerequisite: For majors only, or by instructor approval.",,DANC,Dance
201,Black Arts Today,3 hours.,"A global course in theorizing Black cultural expression. It surveys artistic and cultural responses to types of racism (racial formations), modes of Black resistance and resiliency, and expressions of Black liberation and self-determination. Topics range from Spirituals, Gospel, and ""ring-shouts"" to Western classical music, ballet and modern dance; from Blues, Jazz, and Hip-Hop to African-inspired architecture and Blues tropes embedded in urban and regional segregationist planning; and from the lineage of Black Art + Design to the power of place of the Black Metropolis. As such, the course attends to the geographies of place and ontologies of time, i.e., moments formed from the intersection of Black social movements against white supremacy and Black reimagining of what it means to be human. Through a series of engagements with faculty-artists and researchers in the College of Fine & Applied Arts, Black Arts Today explores the practice and speculative spaces (imaginaries) in which FAA artists-instructors-researchers engage Black Arts or transmit Blackness to the arts.","Humanities - Lit & Arts, and Cultural Studies - US Minority course.",FAA,Fine and Applied Arts
456,Land & Water Resources Engrg,3 OR 4 hours.,"Hydrology, hydraulics, design, construction and cost estimating of structures for the conservation and quality control of soil and water resources; relationship of topography, soils, crops, climate, and cultural practices in conservation and quality control of soil and water for agriculture. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Credit or concurrent registration in TAM 335.",,ABE,Agricultural and Biological Engineering
260,Museums in Action,3 hours.,"Considers how scholarly discourse in museum interpretation and educational program development are translated into practices that engage culturally diverse audiences. Readings, research, and professional activities provide students with opportunities for examination of museum interpretive practices, programming decisions, and public engagement activities, along with analysis of Krannert Art Museum's presence on the university campus, in the larger community, and on the World Wide Web. Additional fees may apply. See Class Schedule.",,ARTE,Art--Education
207,The Science of Pets and How to Care for Them,3 hours.,"Provides students with the knowledge and skills necessary to care for animal species commonly kept as pets. Biological concepts of anatomy, genetics, evolution, nutrition, reproduction, and behavior will provide valuable insight into companion animal husbandry practices for dogs, cats, small mammals, birds, fish, reptiles, and amphibians. Credit is not given for both ANSC 207 and ANSC 307.",Nat Sci & Tech - Life Sciences course.,ANSC,Animal Sciences
251,Warfare Milit Insts & Soc,3 hours.,"History of warfare and its relationship to changing technologies, tactics, and political structures, with an emphasis on the ways that military institutions are integrated with society as a whole. Same as GLBL 251.",,HIST,History
215,Multimedia Reporting,4 hours.,"Designed to acquaint students with the fundamentals of digital photography, video, audio and multimedia as it applies to journalism. Instruction will include conceptual frameworks and techniques to create multimedia journalism content; the conception, planning and creation of multimedia projects; coverage of events with audio, video and photographs; the technical and creative aspects of digital photography, video, and multimedia; delivery platforms for multimedia content including the Web and evolving communication technologies. Credit is not given for JOUR 215 if credit for JOUR 410 has been earned. Prerequisite: JOUR 210 or consent of Journalism Department.",,JOUR,Journalism
442,Radioactive Waste Management,3 hours.,"Radiation and radiological concepts and measurement, the fuel cycle and waste classification, Part 61, state and federal regulations and regulatory agencies, radiochemistry and the environmental fate of radionuclides, uranium-related wastes, low-level wastes, high-level wastes, used fuel reprocessing, private fuel storage, waste package stability, risk assessment, geologic repositories, transporting radioactive wastes, decommissioning wastes, transmutation, an international perspective on radioactive waste management, and the global nuclear energy partnership. 3 undergraduate hours. 3 graduate hours. Prerequisite: MATH 231; PHYS 102 or PHYS 212.",,NPRE,"Nuclear, Plasma, and Radiological Engineering"
380,Social Research Methods,4 hours.,"Introduction to the foundations of social research and to the major types of research methods employed in sociology. Provides exposure to the major tools and terminology of social research, including the use of computers in sociology. Topics include: research design, finding and using sociology literature, measurement, sampling, survey research, field methods, use of available data, quantitative data analysis and presentation, and computer resources for research. Prerequisite: SOC 280 and one of the following: SOC 100, SOC 101, or SOC 163.",Quantitative Reasoning II course.,SOC,Sociology
517,Geospatial Visualization & Visual Analytics,4 hours.,"Intended to introduce students to geospatial visualization and visual analytics as well as the state-of-the-art of cartographic mapping and visualization technologies in the context of cyberGIS (cyber geospatial information science and systems) and geospatial data science. Students will learn open source mapping and visualization libraries such as Leaflet, D3 and Plotly and how to mash up these libraries to create interactive and dynamic visualization tools and GIS applications. Students are expected to learn how to visualize not only geospatial data but also results of spatial analysis. Emphasis is placed on learning the cutting-edge advances of geospatial visualization and visual analytics and practical skills to create geospatial applications based on such advances. 4 graduate hours. No professional credit.",,GGIS,Geography & Geographic Information Science
331,Production Practicum III,1 OR 2 hours.,"Practical experience in all aspects of the production of dance concerts mounted in the Krannert Center for the Performing Arts and within the Department of Dance. May be repeated to a maximum of 6 hours but no more than 2 hours in any one term. (1 hour credit per concert up to 2 hours per term.) Prerequisite: DANC 131, DANC 231 or equivalent, and consent of instructor. Restricted to Dance majors and minors only.",,DANC,Dance
202,Artsful Teaching through Integ,3 hours.,"Designed to provide elementary education majors with a philosophical and practical basis for integrating the arts [including visual art, music, & dance] in public schools. Lecture, discussion, arts practices and class activities will focus on the ever expanding role of the arts in children's lives and the role of the teacher in nurturing artistic expressions through the development of skills, processes, and the various knowledges of the multi-modalities of the arts. Additional fees may apply. See Class Schedule. Prerequisite: Completion of applicable Teacher Licensure Gateway requirements. Contact College of Education for further information. Admission to the Elementary Teacher Education Program.",,FAA,Fine and Applied Arts
633,Business Associations I,3 OR 4 hours.,"Examines the basic legal consequences for individuals, organizations, and society of the formation, control, and financing of organizations. Surveys agency relationships, partnerships, and close and public corporations. 4 graduate hours. 3 or 4 professional hours.",,LAW,Law
407,Airport Design,3 OR 4 hours.,"Basic principles of airport facilities design to include aircraft operational characteristics, noise, site selection, land use compatibility, operational area, ground access and egress, terminals, ground service areas, airport capacity, and special types of airports. 3 undergraduate hours. 3 or 4 graduate hours.",,CEE,Civil and Environmental Engineering
301,"Curriculum, Assessment, and Art Education",3 hours.,"With a focus on problem-based learning, students will design lesson plans and curriculum around a complex human issue. Students will have hands-on experiences teaching in actual classrooms as these lessons will be taught in local schools. Additional fees may apply. See Class Schedule. Prerequisite: ARTE 202. Art education majors only.",,ARTE,Art--Education
252,The Holocaust,3 hours.,"Exploration of the Holocaust in historical perspective by examining European anti-Semitism, political developments in Germany, the rise to power of the Nazis, and the origins of the Holocaust with first-hand accounts, films, and historical texts, concluding with the legacy of the Holocaust in the contemporary world. Same as JS 252.","Humanities - Hist & Phil, and Cultural Studies - Western course.",HIST,History
469,Capstone Design Experience,4 hours.,"Design projects which utilize principles of design, engineering analysis and functional operation of engineering systems. Projects originate from industry, nonprofit entities and federal agencies. Design teams develop concepts, evaluate alternatives, model and analyze solutions, and build and test a final product. Emphases on communication skills, technical writing, and interaction with industry representatives. 4 undergraduate hours. No graduate credit. Prerequisite: Current senior standing in an engineering major. Restricted to undergraduate students.",Advanced Composition course.,ABE,Agricultural and Biological Engineering
351,Social Media Strategy,3 hours.,"Business managers of today must be equipped to deal with the new reality of a highly connected society. In this course, students will learn foundational concepts of Social Media and their applications for generating value for their customers, the society, and the business itself. The course aims to develop analytical skills and understanding of the opportunities and challenges that social media, global collaboration and new ways of engaging customers pose for the firm. An emphasis will be placed on managerial decision making in the context of the social media phenomenon.",,BADM,Business Administration
451,NPRE Laboratory,3 hours.,Radiation detection and instrumentation; radiation dosimetry and shielding; basic measurements in nuclear engineering; engineering applications; micro computer data acquisition and experimental control. 3 undergraduate hours. 3 graduate hours. Prerequisite: NPRE 445.,,NPRE,"Nuclear, Plasma, and Radiological Engineering"
273,Environment and Society,3 hours.,"Same as ESE 287, GGIS 287 and NRES 287. See NRES 287.","Social & Beh Sci - Soc Sci, and Cultural Studies - Western course.",PS,Political Science
340,Dancing Black Popular Culture,3 hours.,"Introduction to black dance aesthetics and its interconnectedness with American popular culture. By exploring its cultural, political and historical roots, coupled with theoretical concepts of ""the popular"" and ties to the vernacular, the course will be organized around significant markers that have shaped black dance's development. Same as AFRO 340.","Advanced Composition, Humanities - Hist & Phil, and Cultural Studies - US Minority course.",DANC,Dance
299,FAA Study Abroad,0 TO 18 hours.,"Provides campus credit for foreign study and/or travel. A detailed proposal for study abroad must be submitted for approval by the appropriate committee of the department in which the student is studying and the college dean's office prior to such study abroad. Final determination of credit and its application toward the degree is made after a review of the student's work abroad by the above committee and college office. (summer session, 0 to 6 undergraduate hours). Approved for Letter and S/U grading. May be repeated to a maximum of 36 hours. Prerequisite: Approval of the student's proposal by the departmental committee and the college office.",,FAA,Fine and Applied Arts
263,History of Medicine in the United States,3 hours.,"Medicine and public health in the United States from the colonial period through the twentieth century. Topics include medical theories, therapeutic practices, and institutions as determined by science, culture, politics, law, and social structures. Additional attention will be paid to illness and epidemics; health care providers, patients, and public policy. Throughout, the course will highlight race, sex, (dis)ability, and other social categories that have affected medical care and been defined in medical terms. Same as GWS 263.","Humanities - Hist & Phil, and Cultural Studies - US Minority course.",HIST,History
211,"Local Planning, Gov't and Law",3 hours.,"Provides students with a basic understanding of the governmental structure, legal aspects, and practice of local municipal planning, with special emphasis on case law, constitutional principles, zoning, subdivision regulations and comprehensive planning. Gives an introduction for students interested in pursuing more advanced studies in land use law and local government planning.",,UP,Urban and Regional Planning
570,Advanced Spatial Analysis,4 hours.,"Advanced techniques of spatial analysis, including spatial autocorrelation, trend surface analysis, grouping and regionalization procedures, and point pattern analysis. 4 graduate hours. No professional credit.",,GGIS,Geography & Geographic Information Science
220,News Editing,4 hours.,"Editing and headline writing, news judgment, ethics and leadership. Credit is not given for JOUR 220 if credit for JOUR 320 has been given.",,JOUR,Journalism
391,Independent Study,1 TO 4 hours.,"Directed independent research or creative activity. Additional fees may apply. See Class Schedule. May be repeated in separate terms to a maximum of 6 hours. Prerequisite: Junior standing in art and design; and consent of instructor, advisor, and associate director of the School.",,ARTE,Art--Education
483,Engineering Properties of Food Materials,3 hours.,"Physical properties of foods and biological materials; properties relating to equipment design and the sensing and control of food processes; thermal, electromagnetic radiation, rheological, and other mechanical properties. 3 undergraduate hours. 3 graduate hours. Prerequisite: Senior status in engineering or consent of instructor.",,ABE,Agricultural and Biological Engineering
390,Individual Study,1 TO 6 hours.,Individual study or research project. May be repeated. Prerequisite: Six hours of sociology; written consent of instructor on form available in the Sociology Department Office.,,SOC,Sociology
642,Antitrust Law,3 OR 4 hours.,"The limitations imposed by the Sherman Act, Clayton Act, and Federal Trade Commission Act on anticompetitive practices by business firms; emphasizes price fixing and other agreements among competitors, monopolization, mergers, exclusive dealing, tying arrangements. Considers applicability of traditional rules to intellectual property and new technologies. 4 graduate hours. 3 professional hours.",,LAW,Law
352,Database Design and Management,3 hours.,"Introduce the modern concepts, techniques and management practices when dealing with data and use of data in organizations. Topics include data modeling, database logical and physical designs, implementation, database administration and web-based database environment. Students will be involved in constructing a database and researching an advanced topic to solidify the learning.",,BADM,Business Administration
580,Teaching and Leadership skills for Graduate Engineering Students and Teaching Assistants,1 OR 2 hours.,"Develop professional skills through practical training in classroom management and leadership; review pedagogy and theory of learning. Create communities of practice through discussions and classroom observations; become familiar with campus resources for teaching improvement; discover cutting-edge teaching methods, including active learning and project-based learning through exposure to educational research topics. Develop leadership skills that will be useful in academia, industry, or government careers. Same as ECE 592. 1 or 2 graduate hours. No professional credit. Approved for S/U grading only.",,ENG,Engineering
330,Making Sustainable Design,5 hours.,"Introduction to techniques and tools for representing and realizing sustainable design ideas. Using a case study method, students are introduced to digital and analog means of representing concepts, data, and spatial forms. Through hands-on assignments, tutorials, and workshops, students learn basic skills to express ideas graphically and in three dimensions. Prerequisite: ARCH 171 and ARTD 225 or ARCH 172 or LA 280. Restricted to majors.",,FAA,Fine and Applied Arts
230,Transportation Planning: Fundamentals and Innovations,3 hours.,"Introduces fundamental concepts and emerging shifts/innovations in the field of transportation planning. The course will prepare students to address the following questions: What does our transportation system look like today, and how did we get here? How do people make decisions about travel? What are the impacts of these decisions on the environment, the economy, social equity, congestion, public health, and safety? Will autonomous vehicles simply encourage more driving, or can they be harnessed in a way that supports wider community goals? How do we design streets that are safe for all travel modes? Through a combination of discussions, case studies, and hands-on activities, students will think critically and creatively about these questions and about the role of transportation planners in creating positive change for communities. Credit will not be given for UP 230 if credit was given for UP 199-LB in Spring 2020 or Spring 2021.",,UP,Urban and Regional Planning
393,Teachers as Researchers,3 hours.,"An undergraduate level course dedicated to providing an overview for informed understanding of the research process, including: definitions and examples of research; common issues such as the IRB, copyright and plagiarism; and exploring two qualitative methodologies used in teaching, specifically Case Study and [Participatory] Action Research. Students will complete 20 Early Field Experience [EFE] hours in this course by observing/teaching with elementary and/or secondary (art) teachers in the local Champaign-Urbana school districts. A substantial research project will complete the course. Additional fees may apply. See Class Schedule. Prerequisite: Restricted to Art Education majors accepted into a teacher certification program.",,ARTE,Art--Education
210,Grilling and BBQ Science,2 hours.,"This course will focus on food preparation and safety, product quality, correct cooking methods, endpoint temperatures, and other general grilling-related topics. The objective is to expand student knowledge on how to utilize different cuts of meat and other products to produce meals. Students will work in groups to prepare a dish with a specific product assigned to them and present their results to the class. Grills and cooking equipment will be provided. Additional fees may apply. See Class Schedule.",,ANSC,Animal Sciences
410,Railway Signaling & Control,3 OR 4 hours.,"Railway traffic control and signaling systems; train performance and scheduling tools; analysis of temporal and spatial separation of trains for safety and efficiency; train movement authority and operating rules, track circuit and wireless train position monitoring technology; interlocking design; railroad capacity modeling tools; economic analysis of traffic control system design, optimization, and selection. Field trip to observe signal system infrastructure and railway traffic operations control center. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CEE 310.",,CEE,Civil and Environmental Engineering
497,Independent Study,1 TO 4 hours.,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. 1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.",,ABE,Agricultural and Biological Engineering
590,Graduate Independent Study,1 TO 8 hours.,"Independent research project or thesis topic development to be supervised by Geography & GIS faculty advisor. 1 to 8 graduate hours. No professional credit. May be repeated in separate semesters. After passing the Preliminary Exam, PhD candidates should register for GGIS 599: Thesis Research instead of this course.",,GGIS,Geography & Geographic Information Science
392,Chicanas&Latinas: Self&Society,3 hours.,Same as GWS 392 and LLS 392. See LLS 392.,Advanced Composition course.,SOC,Sociology
455,Neutron Diffusion & Transport,4 hours.,"Neutron migration, neutron slowing down and thermalization; neutron continuity equation, multigroup diffusion theory, homogeneous and heterogeneous medium, thermal and fast assemblies; numerical methods for multigroup diffusion equations; reactor dynamics perturbation theory; reactivity coefficients; introductory transport theory. 4 undergraduate hours. 4 graduate hours. Prerequisite: NPRE 247.",,NPRE,"Nuclear, Plasma, and Radiological Engineering"
280,Specialized Skills and Practices,1 TO 4 hours.,"A changing array of courses addressing specialty writing, reporting, audio, video and multimedia skills, topics and projects. Approved for Letter and S/U grading. May be repeated up to 8 hours in the same semester and up to 12 hours in separate semesters, if topics vary.",,JOUR,Journalism
350,Teaching Dance,4 hours.,"Provides both theoretical explorations of and practical experiences in teaching dance to children and adult populations. Through reading and discussion students will engage with multiple pedagogical methodologies in preparation to responsibly teach dance courses. Students will learn to prepare and present culturally relevant movement assignments and lesson plans, create safe learning environments based on anatomical and kinesiology principles, and research and write about multiple dance styles and pedagogical methods in regards to their cultural and aesthetic histories. Students will practice teaching by serving as teaching assistants in non-dance major classes (ballet, hip-hop, improvisation, jazz, modern, tap, umfundalai, etc.), or, by serving as assistants in the Saturday Department of Dance Creative Dance for Children classes offered to the community. Under supervision of the assigned instructor, students will teach movement activities and classes. Students will prepare for their teaching assistantships by designing lesson plans and observing and critiquing peer and experienced teachers. Students will also develop materials (teaching philosophy, cover letter/resume) in preparation for a career as a teaching artist and/or classroom educator. Prerequisite: Restricted to Dance majors only.",,DANC,Dance
591,Engineering Advanced Seminar,1 hours.,"Seminar on topics of current interest as announced in the Class Schedule. 0 or 1 graduate hours. No professional credit. Approved for S/U grading only. May be repeated if topics vary. Prerequisite: As specified for each topic offering, see Class Schedule for course description.",,ENG,Engineering
644,Copyright Law,3 OR 4 hours.,Offers an in-depth look at the legal aspects of copyright with special emphasis on the application of traditional copyright principles to new technologies and media of expression. 4 graduate hours. 3 professional hours.,,LAW,Law
316,Urban Informatics II,3 hours.,"Provides an introduction to formal methods for collecting and analyzing data required in various planning processes. Methods include survey research, regional demographic and economic analysis, forecasting techniques, benefit-cost analysis, and decision analysis. Prerequisite: UP 116 or an introductory statistics course.",Quantitative Reasoning II course.,UP,Urban and Regional Planning
398,Sustainable Design Internship,0 hours.,Supervised field experience in a full-time or part-time internship position related to the field of Sustainable Design. Designed to introduce students to professional employment and actual practice. Full documentation and approval of internship activities required. Approved for S/U grading only. May be repeated in separate terms to a maximum of three times. Prerequisite: For Sustainable Design majors only. Registration only with instructor permission (sustaindesign@illinois.edu).,,FAA,Fine and Applied Arts
401,Teaching Seminar,4 hours.,"Examines responsibilities, methods, and techniques specific to teaching art in elementary and secondary schools; includes the psychology of the exceptional child in conjunction with methods of instruction and student teaching experience. 4 undergraduate hours. 4 graduate hours. Prerequisite: ARTE 302; concurrent registration in EDPR 438 and EDPR 442, art education sections only.",,ARTE,Art--Education
593,Geography & GIS Colloquium,0 hours.,Weekly research presentations by invited speakers and Geography & GIS PhD students on a wide range of topics. Required for all GGIS graduate (excluding PSM) students. 0 graduate hours. 0 professional hours. Approved for S/U grading only. May be repeated in separate terms.,,GGIS,Geography & Geographic Information Science
498,Special Topics,1 TO 4 hours.,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 16 hours.,,ABE,Agricultural and Biological Engineering
396,Topics in Sociology,3 hours.,"Explores topics not covered in regularly scheduled Sociology courses. See Class Schedule for topics. May be repeated if topics vary. Prerequisite: One of the following: SOC 100, SOC 101, SOC 163, or consent of instructor.",,SOC,Sociology
475,Teaching Elementary Reading and Language Arts I,3 OR 4 hours.,"First of a two-course sequence that examines the basic theories, issues, methods, and materials for a developmental 1-6 language arts program. Emphasizes the need to integrate the four language arts (reading, writing, speaking, and listening) as tools for learning across the curriculum. Addresses cultural diversity in language arts instruction, with emphasis on linguistic diversity. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CI 467 and admission to the Elementary Teacher Education Program. Elementary Education students register for 3 hours. Special Education students register for 4 hours.",,CI,Curriculum and Instruction
458,Design in NPRE,4 hours.,"Design in nuclear, plasma, and radiological engineering systems; basic principles of definition, organization, constraints, modeling and optimization of system design; case studies; class design projects applying these basic principles. 4 undergraduate hours. 4 graduate hours. Prerequisite: NPRE 449.",,NPRE,"Nuclear, Plasma, and Radiological Engineering"
320,Heat Transfer,4 hours.,"Principles and application of heat transfer by conduction, convection, and thermal radiation. Prerequisite: ME 200; ME 310 or TAM 335; MATH 285 or MATH 286 or MATH 441.",,ME,Mechanical Engineering
293,Digital Photography for Everyone,3 hours.,"Foundations of digital photography, techniques to produce photographs; the conception and planning of pictures; the pictorial coverage of locations, events and human interest situations; and the planning and execution of photos in print, on the web and other electronic media are the focus of this hands-on course. You will develop a practical understanding of the potentials and realities of photographic communication to better use them for full expression of your vision. Approved for Letter and S/U grading.",,JOUR,Journalism
411,RR Project Design & Constr,3 OR 4 hours.,Critical elements in the development and planning of railroad construction projects; project economic justification; route alternative analysis procedures; cost estimation; site civil design; computer-aided track design; surveying; construction management; construction procedures for typical railroad projects. Design project covering a typical railroad capital construction projects. Field trip to observe the construction of a railroad capital project. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CEE 310.,,CEE,Civil and Environmental Engineering
353,Info Sys Analysis and Design,3 hours.,"Methodologies and techniques used and deliverables created in developing large-scale information systems, including preliminary planning, feasibility analysis, design implementation, and post-implementation review of the system; a term-long project which familiarizes students with methodology and techniques is required.",,BADM,Business Administration
480,Popular Visual Culture,3 OR 4 hours.,"Focuses primarily on contemporary popular culture, but also draws upon fine art, folk art, and indigenous art from both the past and the present. Considers the often troubled relationships between the pleasures of visual culture and its ideologies. Students examine the literature of visual culture studies and develop research skills by examining a specific site of visual culture of their own choosing in terms of aesthetic pleasures and ideology including but not limited to sexism, class, ethnicity, religion, homophobia, and xenophobia. Theories of the body, consumerism, and globalization, among others will be considered. Additional fees may apply. See Class Schedule. 3 undergraduate hours. 4 graduate hours. May be repeated in separate terms to a maximum of 6 undergraduate or 8 graduate hours.",,ARTE,Art--Education
431,Capstone Studio,5 hours.,"In design studio format, students work on capstone projects for the Bachelor of Science in Sustainable Design degree. Students receive regular feedback and critique throughout the semester in the form of desk critiques, pin-ups, and formal reviews with Illinois Faculty and guests from other institutions. 5 undergraduate hours. No graduate credit. Prerequisite: FAA 430. Limited to undergraduate majors.",,FAA,Fine and Applied Arts
347,Junior Planning Workshop,4 hours.,"Provides students with an opportunity to further develop planning skills and knowledge to prepare for an advanced level urban planning workshop. Students will work in small groups to define and solve planning problems as they improve skills in data collection and analysis, mapping and spatial analysis, design, oral and written communication and presentation, public engagement, teamwork, and consensus building. Specific projects associated with the workshop will vary from year to year. Prerequisite: UP 312. Intended for juniors in the Department of Urban and Regional Planning.",,UP,Urban and Regional Planning
280,Intro to Intl Relations,3 hours.,"Structure and processes of international relations, trends in international politics, and the future of the international system. Credit is not given for both PS 280 and PS 281.",Social & Beh Sci - Soc Sci course.,PS,Political Science
594,Seminar in Social Geography,4 hours.,Advanced study of current research in social geography; topic will vary from term to term. Prepares students for thesis and dissertation research through the study of relevant literature and completion of a research paper. 4 graduate hours. No professional credit.,,GGIS,Geography & Geographic Information Science
598,Special Topics,1 TO 4 hours.,Subject offerings of new and developing areas of knowledge in engineering intended to augment the existing curriculum. See Class Schedule or college course information for topics and prerequisites. May be repeated in the same or separate terms if topics vary.,,ENG,Engineering
470,Fuel Cells & Hydrogen Sources,3 hours.,"The role of hydrogen as a global energy form, hydrogen production by nuclear, fossil and renewable energy sources; hydrogen handling, safety; transportation and storage methods including high-pressure, cryogenic, metal hydrides and chemical hydrides; basic science and technology of fuel cells, including electrochemical processes; fuel cell thermodynamics; low- and high-temperature fuel cells; applications including portable electronics, automotive vehicles, distributed and back-up power, and space power. 3 undergraduate hours. 3 graduate hours. Prerequisite: CHEM 102, MATH 285, and PHYS 212.",,NPRE,"Nuclear, Plasma, and Radiological Engineering"
400,Internships,0 TO 3 hours.,Selected internship opportunities in which student and faculty member develop a program of study and research related to internship. Consult departmental undergraduate advisor. 0 to 3 undergraduate hours. No graduate credit. Approved for Letter and S/U grading. May be repeated to a maximum of 6 hours. Prerequisite: Junior or senior standing; and SOC 100 or SOC 101 or SOC 163; and six additional hours in Sociology or acceptance of faculty member and Director of Undergraduate Studies.,,SOC,Sociology
648,Corporate Taxation,3 OR 4 hours.,"In-depth study of federal income tax law related to taxation of corporations, shareholders, partnerships, and partners. 4 graduate hours. 3 professional hours. Prerequisite: LAW 647.",,LAW,Law
310,Media Law in Historical Context,3 hours.,"This course surveys how the press and First Amendment freedoms have played a key role in developing and sustaining the world's first constitutional democracy, the United States of America. The course examines how a selection of key court cases, legal actions, and regulations in the wake of the First Amendment have shaped the U.S. media landscape. These legal events serve as pivot points to study the journalism of the era in which they took place, providing an exploration into how law, journalism, and the news have evolved Credit is not given toward graduation for JOUR 310 and JOUR 311. Prerequisite: Restricted to students with Sophomore, Junior, or Senior class standing.",,JOUR,Journalism
211,Breeding Animal Evaluation,3 hours.,"Application of current scientific tools, methods, and performance programs available to livestock breeders for improving beef cattle, swine, and sheep; emphasis on the changing nature of modern breeds of livestock as influenced by selection, economics, and consumer and market trends. Course requires visits (including weekends) to farms, related companies, and events to observe the latest techniques and scientific principles associated with livestock selection and evaluation. Students are responsible for personal expenses on the field trips. Prerequisite: Junior standing.",,ANSC,Animal Sciences
264,Technology in Western Society,3 hours.,"Explores the role of technology as a transforming social force; examines innovations from the stirrup and heavy plow to the airplane and computer, that restructured economic and political life and realigned values; examines cultural representations of technology.","Humanities - Hist & Phil, and Cultural Studies - Western course.",HIST,History
362,Choreographic Process II,2 hours.,"Choreography for the experienced student; focus of the class will be on using technology, production elements, and/or structural compositional forms in the creation of original dance solo or group works. May be repeated in separate terms to a maximum of 8 hours. Prerequisite: DANC 259 and DANC 262. For Dance majors only.",,DANC,Dance
