375,Comm Partners & Health,3 hours.,Same as KIN 375 and SHS 375. See SHS 375.,,AHS,Applied Health Sciences Courses
104,Animal Biology,4 hours.,"Introductory zoological concepts with emphasis on the diversity and comparative anatomy of animals and the fundamentals of physiology, genetics, evolution, and behavior. Lecture and laboratory.",Nat Sci & Tech - Life Sciences course.,IB,Integrative Biology
101,Dance Activities,1 hours.,Skills and knowledge essential for leisure-time activities which are classified as dance activities. May be repeated; more than one activity (Sections A through Z) may be taken in the same term. Prerequisite: See Class Schedule for prerequisites for each dance activity.,,KIN,Kinesiology
453,Advanced Modern Greek I,3 hours.,Practice to enable students to attain conversational fluency and to become independent users of the language who deal effectively and with a good deal of accuracy with familiar communication situations. 3 undergraduate hours. 3 graduate hours. Prerequisite: GRKM 404 or consent of instructor.,,GRKM,Modern Greek
537,"Employee Stress, Well-Being, & Safety",4 hours.,"Uses the �organizational psychology� approach focusing on important psychosocial factors that affect employee stress, well-being, and safety. This focus helps students see the importance of good people management. The class will include lectures, in-class learning activities, and a group project. In this course, students will obtain fundamental and up-to-date knowledge of prevention and intervention strategies for minimizing the impact of stressors and ensuring healthy and safe work environments. 4 graduate hours. No professional credit. Prerequisite: Restricted to students in the MHRIR program.",,LER,Labor and Employment Relations
321,Advanced Corporate Finance,3 hours.,"Theories of firms' investment and financing decisions are covered. Topics include dividend policy, capital budgeting, capital structure, bankruptcy, long- term debt and leasing decisions. Prerequisite: FIN 300.",,FIN,Finance
160,"Race, Social Justice, and Cities",3 hours.,"Study of the history and politics of American cities as sites of everyday struggles against systemic racialized exclusions rooted in patterns of residential segregation. Frame everyday racial encounters as surface symptoms of submerged and systematic forms of racism rooted in centuries of genocide, land theft, racial slavery and decades of Jim Crow segregation and neoliberal exclusions. Explore everyday racial conflicts in selected cities as expressions of historical struggles for social and spatial justice, across multiple scales. Focus on the governance of routine social practices ranging from policing, to education, to gentrification and memorialization in public places. Final student projects will focus on social struggles against systemic and everyday racisms in a self-selected city of their choice. Credit is not given for UP 160 if UP 199 section -""Race,"" Social Justice and the City has been taken.",Cultural Studies - US Minority course.,UP,Urban and Regional Planning
219,Applied Ecology,3 hours.,"Explores how organisms interact with each other and with their environment. Emphasis is placed on how these interactions lead to positive and negative outcomes in a human-dominated world. Students will learn the fundamental principles of population, community, and ecosystem ecology, and they will apply these principles to understand how ecological systems respond to human management decisions, environmental policy, climate change, and other anthropogenic influences. The goal of this course is to provide students with an ecological toolkit that can inform their decisions in conservation, ecosystem management, restoration, policy, and stewardship.",,NRES,Natural Resources and Environmental Sciences
200,Explore Music through Dance,3 hours.,"In-depth study of musical form, history, culture, and styles, taught from a physical learning, i.e., dance, perspective. Musical and dance forms will be studied across cultures and time periods, from both a technical and a cross-cultural perspective. Content will be delivered as a series of video lectures and performances, and online readings. Students will create movement studies that mirror the musical forms being analyzed, produce video documentation of these works, engage in peer review of other students' performance work, and complete exams that cover the cultural and historical aspects of the examples studied.",Humanities - Lit & Arts course.,DANC,Dance
522,Dostoevsky,4 hours.,"Study of Dostoevsky's works in the original Russian, historical and philosophical contexts, current critical approaches. May be repeated to a maximum of 8 hours.",,RUSS,Russian
199,Undergraduate Open Seminar,1 to 5 hours.,May be repeated.,,PS,Political Science
301,Training Management and the Warfighting Functions,3 hours.,"The first in a sequence of courses specifically designed for Army ROTC Advanced Course Cadets. This academically challenging class will require you to will study, practice, and apply the fundamentals of Army Leadership, Officership, Army Values and Ethics, Personal Development, and small unit tactics at the squad level. At the conclusion of this course, you will be capable of planning, coordinating, navigating, motivating and leading a squad in the execution of a mission during classroom practical exercises, Leadership Labs, and during a Field Training Exercises (FTX). You will be required to write peer evaluations and receive feedback on your abilities as a leader as well as how to improve those leader skills that can further develop you in to a successful officer. This course includes reading assignments, homework assignments, small group assignments, briefings, case studies, practical exercises, a mid-term exam, and a final exam. You will receive systematic and specific feedback on your leader attributes and core leader competencies from your instructor, other ROTC cadre, and MS IV Cadets who will evaluate you using the Cadet Officer Evaluation System. Successful completion of this course will help prepare you for the ROTC Advanced Camp, which you will attend in the summer at Fort Knox, KY. Prerequisite: Successful completion of MILS 101, MILS 102, MILS 201 and MILS 202 is required to enroll in MILS 301. This course is intended for Army ROTC Cadets who have successfully passed the Basic Course or Basic Camp and are contracted into the Advanced Course.",,MILS,Military Science
199,Undergraduate Open Seminar,0 TO 5 hours.,Approved for both letter and S/U grading. May be repeated.,,BUS,Business
328,Human-Centered Product Design,3 hours.,"Principles of human-centered design and usability applied to products, product systems, and product environments to enhance the user experience; strategies to enhance independent learning for professional development, to further research, and to acquire new skills. Additional fees may apply. See Class Schedule. Prerequisite: Junior standing in Art and Design or consent of instructor.",,ARTD,Art--Design
399,Advanced Open Seminar,1 TO 6 hours.,Advanced undergraduate seminar. Topics will vary each semester. Please see section topic. Approved for letter and S/U grading. May be repeated in the same or subsequent terms to a maximum of 6 hours.,,AHS,Applied Health Sciences Courses
102,Individual and Dual Activities,1 hours.,Skills and knowledge essential for leisure-time activities which are classified as individual and dual activities. Prerequisites for each individual or dual activity are provided in the Class Schedule. More than one activity (Sections A through Z) may be taken in the same term. Additional fees may apply. See Class Schedule.,,KIN,Kinesiology
542,Collective Bargaining,4 hours.,"Examination of: social values and social science concepts to develop a framework for explaining the basis and shape of collective bargaining as it has been practiced in the United States; government and law, unions, and employers as part of the development of this framework; the environment of collective bargaining with respect to the role of economics and bargaining structure; the negotiating process as the interactive basis for union-management relations; conflict and conflict resolution as part of the negotiating process; wage and other effects of collective bargaining as bargaining outcomes; contemporary changes in union management relations. Case materials and exercises may be used to supplement course materials. Same as ECON 542. Prerequisite: Consent of instructor.",,LER,Labor and Employment Relations
185,Cities in a Global Perspective,3 hours.,"Introduction to the process of urbanization from a global perspective by exploring the social, political, cultural and economic forces that shape urban life. Students will learn to analyze urban development in a range of cities including those in the Middle East and South Asia, Latin America and Africa.","Cultural Studies - Non-West, and Social & Beh Sci - Soc Sci course.",UP,Urban and Regional Planning
492,"Sustainability, Energy and Environment Capstone",4 hours.,"Problem-focused learning and a holistic and interdisciplinary perspective to address critical sustainability-related challenges facing society. Students will gain critical thinking skills to examine the sustainability of various decisions, analyze the trade-offs between the economic, environmental and social dimensions of sustainability of alternative solutions, learn techniques to operationalize the concept of sustainability and develop practical skills in sustainability assessment. Team projects will develop team building skills, communication skills and project management skills. 4 undergraduate hours. No graduate credit. Prerequisite: ENVS 301. For students enrolled in the Sustainability, Energy and Environment Fellows Program.",,ENVS,Environmental Studies
101,Exploring General Studies,1 OR 2 hours.,"An introduction to the opportunities and resources available to the ""undeclared"" students enrolled in the Division of General Studies at Illinois. Introduces students to the breadth of diverse fields of study available, prepares DGS students for myriad potential careers, and helps foster a sense of collaboration and engagement through campus orientation, study, and project-based assignments. May not be repeated.",,GS,General Studies
150,Lang&Culture of Arab World,3 hours.,Same as ARAB 150. See ARAB 150.,Cultural Studies - Non-West course.,SAME,South Asian and Middle Eastern Studies
201,Yoga Practicum,2 hours.,"Introduces basic yoga asanas (postures) and overview of the 8-limb system of yoga. Focus will be on physical understanding, correct alignment and inner awareness in the major basic poses. Weekly home practice, ongoing journal, and a research paper about an area of yoga philosophy are required. May be repeated in separate terms to a maximum of 16 hours. Prerequisite: Not intended for Dance or Dance major(s).",,DANC,Dance
220,Communicating Agriculture,3 hours.,Same as AGCM 220 and ENVS 220. See AGCM 220.,Advanced Composition course.,NRES,Natural Resources and Environmental Sciences
351,Graphic Design Inquiry,1 TO 4 hours.,A series of topical studios that touch upon the myriad practices of graphic design. Students produce and analyze form and content according to each individual topic. Media engagement varies across sections. Additional fees may apply. See Class Schedule. May be repeated up to 8 hours.,,ARTD,Art--Design
355,Race and Mixed Race,3 hours.,Same as LLS 355 and SOC 355. See LLS 355.,,AAS,Asian American Studies
546,The Gender Wage Gap,4 hours.,"Focuses on male-female differences in workforce participation, earnings, and occupations, and potential explanations for these differences, using insights from economic models. The course will also focus on applying economic intuition to evaluate potential impacts of employer and government policies on labor market outcomes. 4 graduate hours. No professional credit. Prerequisite: Restricted to students in MHRIR or Ph.D. program at the School of Labor and Employment Relations.",,LER,Labor and Employment Relations
300,The Legal Environment of Bus,3 hours.,"Introduction to law and the legal system, litigation, contracts, business organizations, intellectual property, employment law and governmental regulation of business.",,BADM,Business Administration
204,Chicago: Planning & Urban Life,3 hours.,"Provides a broad introduction to social science theories and analysis methods, and uses the City of Chicago as a semester-long case study to examine how people, communities, and governments plan a city. Draws upon theories and methods of several social science disciplines including economics, geography, political science, anthropology, and sociology. Balances themes and concepts from the assigned readings with discussion of Chicago-specific case studies and hands-on application of fundamental analysis techniques. Credit is not given for both UP 204 and UP 203. Prerequisite: UP 101.",,UP,Urban and Regional Planning
390,Finance Academy,1 hours.,"The Finance Academy is an enrichment program for outstanding undergraduate Finance majors. A select program that focuses on developing future business leaders via enhanced academic and career opportunities. Students are normally invited to participate by the faculty during their junior year, when they are enrolled in FIN 300. If inducted, students participate throughout their junior and senior years. Approved for letter and S/U grading. May be repeated in separate terms. Course will not satisfy Finance major requirements. Prerequisite: Induction into the Finance Academy.",,FIN,Finance
101,Intro to Amer Indian Studies,3 hours.,"Interdisciplinary introduction surveys the stories, histories, and lands of tribal peoples who became known as ""American Indians"".","Humanities - Hist & Phil, and Cultural Studies - US Minority course.",AIS,American Indian Studies
214,Introduction to Islam,3 hours.,Same as REL 214. See REL 214.,"Humanities - Hist & Phil, and Cultural Studies - Non-West course.",SAME,South Asian and Middle Eastern Studies
201,US Racial & Ethnic Politics,3 hours.,"Examines efforts by racial and ethnic communities to organize politically and by society to allocate resources based on race or ethnicity. Topical focus includes African Americans, Latinos, Asian Americans, Native Americans, and white ethnics. The primary goal of the course is to develop a more comprehensive understanding of racial and ethnic politics by identifying commonalities and differences among these groups and their relationship to the state. Same as AAS 201, AFRO 201, and LLS 201.","Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",PS,Political Science
312,Leadership Laboratory,0 hours.,"Advanced level practical application of military skills and leadership with emphasis on the student's ability to direct and supervise others; includes advanced land navigation, advanced first aid, platoon and company drill and ceremonies, and advanced communications procedures. Field trip required. Approved for S/U grading only. May be repeated.",,MILS,Military Science
120,The Classical Tradition,3 hours.,"Survey of the Greco-Roman tradition from late antiquity to the present. Examination of Greco-Roman culture in medieval Christianity and Islam, the literary tradition of the Troy tale, the rediscovery of Greek texts and the Florentine Renaissance, classical allusions in early modern literature, the foundations of modern political movements, and the persistence of the classical tradition in contemporary popular culture.","Humanities - Lit & Arts, and Cultural Studies - Western course.",CLCV,Classical Civilization
224,Social Justice and Environment,3 hours.,"Over the last 25 years, Environmental Justice (EJ) has expanded from its earliest focus combating environmental racism in the US to an influential global phenomenon. What is EJ and how do we realize it in public policy? Students in this course will examine environmental issues through the lens of social justice and human inequality. We explore how EJ makes connections between environmental (pollution, biodiversity, food, climate) and social justice issues (race, ethnicity, gender, class) in order to inform public policy and mitigate environmental problems.","Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",NRES,Natural Resources and Environmental Sciences
110,Race and Environmental Biology,3 hours.,"The environment each person experiences is created by cultural, biological, and political factors. We will explore how race and culture shape environment and the underlying biological processes that influence the people and organisms that occur in these environments. We will also explore how politics can further shape environments for various racial and ethnic groups.","Nat Sci & Tech - Life Sciences, and Cultural Studies - US Minority course.",IB,Integrative Biology
596,Interdisciplinary Tox Sem,1 hours.,Same as PATH 596 and CB 596. See CB 596.,,ENVS,Environmental Studies
550,Game Theory and HR Strategy,4 hours.,"Teaches the fundamentals of strategic thinking from an applied game theoretic perspective, and the interrelationship between game theory, strategy, and human resource management. Students first learn the art and science of strategy, including differences between sequential and simultaneous strategies; identification of prisoner's dilemmas; coordination games; strategic moves; and information asymmetries. Students then learn how to connect these strategic tools to HR issues like talent management, workplace incentives, employee empowerment, and bargaining. 4 graduate hours. No professional credit. Prerequisite: Restricted to students in the MHRIR program.",,LER,Labor and Employment Relations
357,Literatures of the Displaced,3 hours.,"Same as AIS 357, ENGL 357, GWS 357, and LLS 357. See LLS 357.",,AAS,Asian American Studies
201,Business Dynamics,3 hours.,Introduces College of Business sophomores to the primary functional areas of business and how each functional area relates to comprise a business system. Students will engage in a dynamic simulation to develop an understanding of the interdependencies between the functional areas. The course will also highlight and continue to develop the teamwork and leadership skills required of successful managers. Prerequisite: Sophomore standing; BUS 101.,,BUS,Business
391,Investment Banking Academy,1 hours.,"A diversified curriculum designed to prepare students for a successful career in investment banking; course incorporates peer mentorship, guest lectures (from bankers, accountants, private equity associates and hedge fund analysts), a case competition and a field trip. Course will not satisfy Finance major requirements. May be repeated for a maximum of 6 hours in separate terms. Prerequisite: Admission by application only.",,FIN,Finance
209,Lyric Theatre Dance,2 hours.,"Designed for Lyric Theatre Students, this course will introduce a broad variety of movement techniques used in the collaborative singing-acting industry. Through integrative cognitive and physical instruction, students will learn to optimize kinesthetic awareness, expressiveness, breath control, and governance of the singing actors' physical instrument. Classes will include: physical exercises and improvisations, group collaborations, and analysis of movement choices in theatrical performances. Dance styles ranging from Baroque opera and ballroom dance forms to contemporary musical theatre will be covered within this course. May be repeated once in separate semesters. Prerequisite: For Dance or Lyric Theater majors or Dance minors only or by consent of the instructor.",,DANC,Dance
260,Mystics and Saints in Islam,3 hours.,Same as REL 260. See REL 260.,"Humanities - Lit & Arts, and Cultural Studies - Non-West course.",SAME,South Asian and Middle Eastern Studies
130,Intermediate Spanish,4 hours.,"Continued development of reading, writing and conversational skills. This is considered a third level course for the purposes of fulfilling the Language Other Than English (LOTE) requirement. Instruction in Spanish. Prerequisite: SPAN 102, SPAN 122 or equivalent placement score.",,SPAN,Spanish
131,"Classical Archaeology, Greece",3 hours.,Introduction to the archaeology of ancient Greece and the Aegean world.,"Humanities - Hist & Phil, and Cultural Studies - Western course.",CLCV,Classical Civilization
242,Nature and American Culture,3 hours.,Same as LA 242 and RST 242. See RST 242.,Cultural Studies - Western course.,NRES,Natural Resources and Environmental Sciences
551,Social Justice and the Workplace,4 hours.,"Examines how movements for social justice have shaped � and continue to shape � U.S. employment relations. How have social movements mobilized to address employment discrimination? How have campaigns for social justice influenced U.S. employment law, public policy, and workplace practices? How can the workplace leaders of today and tomorrow continue to build more just and equitable workplaces? 4 graduate hours. No professional credit. Prerequisite: Restricted to MHRIR students in LER.",,LER,Labor and Employment Relations
395,Adv Asian Am Undergrad Reading,2 OR 3 hours.,Supervised reading and research in upper level Asian American Studies topics chosen by the student with instructor approval. May be repeated to a maximum of 6 hours. Prerequisite: AAS 100.,,AAS,Asian American Studies
322,Leadership Laboratory,0 hours.,"Unique opportunity for advanced course students to fully plan, execute, and supervise the military training and activities of other military science students. Emphasis is on leadership, organizing and managing activities, decision making, and effective instructional techniques. Field trip required. Approved for S/U grading only. May be repeated.",,MILS,Military Science
210,Environmental Economics,3 hours.,"Same as ACE 210, ECON 210, ENVS 210, and NRES 210. See ACE 210.",Social & Beh Sci - Soc Sci course.,UP,Urban and Regional Planning
272,Language and Culture in Turkey,3 hours.,"Same as ANTH 272, GLBL 272, and TURK 270. See TURK 270.",Cultural Studies - Non-West course.,SAME,South Asian and Middle Eastern Studies
392,Investment Management Academy,1 hours.,Overview of security analysis with the objective of how to value an investment proposition for inclusion in a portfolio of securities managed by students in the class. Focus will be in areas of fundamental securities analysis with the emphasis on equity valuation. Course will not satisfy Finance major requirements. May be repeated to a maximum of 6 hours in separate terms. Prerequisite: Admission by application only. Primarily for Finance majors with sophomore standing or above who show interest in pursuing their CFA credential.,,FIN,Finance
216,Dance II,2 hours.,"An umbrella course for non-dance majors to explore all intermediate dancing technique courses offered in the department. Courses are offered from a range of cultural origins and traditions, which may include techniques such as Ballet, Capoeira, Contemporary Modern, Hip Hop, House, Improvisation, Jazz, Tap, Umfundalai, West African, etc. Specific dance forms for each semester will be listed in the class schedule. These courses provide students with prior study in the techniques, a physical experience of various dance techniques and an intermediate study of the cultural context of their creation and practice. May be repeated. Prerequisite: Audition required during first two class sessions to remain enrolled in course. Restricted to non-dance majors.",,DANC,Dance
202,Religion & Politics in the US,3 hours.,"Examines how religion and politics influence each other in the United States, both historically and in contemporary society.",,PS,Political Science
303,Principles of Public Policy,3 hours.,"Same as ACCY 321, ACE 321, and PS 321. See PS 321.",,BADM,Business Administration
214,American Indian Law & Politics,3 hours.,Same as PS 214. See PS 214.,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",AIS,American Indian Studies
310,Race and Cultural Diversity,4 hours.,"Study of race and cultural diversity from Colonial era to present; the evolution of racial ideology in an ethnically heterogeneous society; the impact of race on the structures and operations of fundamental social institutions; the role of race in contemporary politics and popular culture. Same as AAS 310, AFRO 310, EPS 310, and LLS 310. Prerequisite: Completion of campus Composition I general education requirement.","Advanced Composition, and Cultural Studies - US Minority course.",EPOL,"Education Policy, Organization and Leadership"
103,Indoor Court Activities,1 hours.,Skills and knowledge essential for leisure-time activities which are classified as indoor court activities. Prerequisites for each indoor court activity are provided in the Class Schedule. More than one activity (Sections A through Z) may be taken in the same term.,,KIN,Kinesiology
133,Archaeology of Israel,3 hours.,"Exploration of the archaeology and history of the Near East with a specific focus on the development of Israel. Cultures of the Near East adapted to a rapidly changing world by pioneering the world's earliest innovations in agriculture, urbanism, bronze technology, and writing. We will investigate the Near Eastern background of the Israelites and their neighbors from the beginnings of agriculture during the ""Neolithic Revolution"", to the formation of the world's first cities in the Bronze Age, to the archaeological remnants of the Hebrew Bible. We will investigate the ramifications of wave after wave of military conflict and how this has shaped the Middle East, including the Babylonian Exile, the conquests of Alexander the Great, and the Jewish Revolts against the Romans.","Humanities - Hist & Phil, and Cultural Studies - Western course.",CLCV,Classical Civilization
350,South Asian Goddesses,3 hours.,Same as CWL 350 and REL 350. See REL 350.,,SAME,South Asian and Middle Eastern Studies
554,Comparative Employment Relations Systems,4 hours.,"Examines employment systems in selected developed, newly industrialized, and developing economies. We will discuss how distinctive labor market institutions emerged in the context of economic development and evolved through interactions with the global economy. Students will learn about management-labor relations, and the roles of firms, national governments, and international organizations in shaping employment systems. Emphasis will be placed on the analytical tools needed to make multi-country comparisons, to link theory and practice 4 graduate hours. No professional credit. Prerequisite: Restricted to students in the MHRIR program.",,LER,Labor and Employment Relations
393,Risk Management Academy,1 hours.,"The Risk Management Academy is an enrichment program for outstanding undergraduates from across campus. The nature of risk management requires a knowledge base that includes majors from a number of colleges and departments including Finance, Actuarial Science, Atmospheric Sciences, Financial Planning, Engineering, Math and Statistics. RMA provides a select program that focuses on developing future business leaders in risk management via enhanced academic and career opportunities. Students are normally invited to participate by the faculty during their freshman or sophomore year, when they are enrolled in FIN 230 and other basic RM courses. If inducted/accepted, students participate throughout their sophomore, junior and senior years. Approved for Letter and S/U grading. May be repeated in separate terms to a maximum of 8 hours. Prerequisite: Acceptance into the Risk Management Academy. Restricted to students accepted in the Risk Management Academy.",,FIN,Finance
402,Asian American Education,4 hours.,Same as EPS 402 and EPOL 402. See EPOL 402.,"Advanced Composition, and Cultural Studies - US Minority course.",AAS,Asian American Studies
214,American Indian Law & Politics,3 hours.,"Examines the role of American Indians and Indian law in the US political system. Beginning with the core concept of sovereignty, the course then looks at Indian political mobilizations, tribal political economy, tribal governance, relations between tribes and states and between tribes and the federal government, and laws governing religious freedom and environmental issues. Same as AIS 214.","Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",PS,Political Science
310,Mgmt and Organizational Beh,3 hours.,"General analysis of management and organizational behavior from a systems point of view, including classical organizational theory and management, organizational behavior, and management science; environmental forces; planning, organizing, and control processes; motivation, incentives, leadership, communication, and interpersonal relations; and discussion of production and decision-making and mathematical models.",,BADM,Business Administration
285,Field Experience,1 OR 2 hours.,"Field based course that exposes students to procedures and methods used in various resource settings in a hands-on manner. Includes weekly field trips to visit representative natural resource and environmental science settings with supporting laboratory exercises. Content of offerings vary by section, but all focus on resource management, environmental quality and assessment, and effects of consumption and use on the environment. Field trips required. Additional fees may apply. See Class Schedule. May be repeated in the same term up to 4 hours if topics vary or separate terms to a maximum of 6 hours. Prerequisite: NRES 201 and NRES 219. The department strongly recommends that students take only one section per semester, except under highly unusual circumstances.",,NRES,Natural Resources and Environmental Sciences
371,Graphic Design Practicum,2 hours.,"This analytical studio prepares students for entry into the field of graphic design. Professional practice is parsed into areas of opportunity, to which students ultimately align themselves and by which they structure their preparatory endeavors. Additional fees may apply. See Class Schedule. Prerequisite: Credit in ARTD 333, credit or concurrent registration in ARTD 318, and senior standing.",,ARTD,Art--Design
277,Encounters in Native America,3 hours.,Same as HIST 277. See HIST 277.,"Humanities - Hist & Phil, and Cultural Studies - US Minority course.",AIS,American Indian Studies
325,Independent Study,1 TO 3 hours.,Supervised reading and research in a selected area of Military Science. May be repeated in separate terms to a maximum of 6 hours. Prerequisite: Department approval required.,,MILS,Military Science
490,Special Topics,3 OR 4 hours.,Study of selected topics in Middle Eastern studies; content is variable. Check Class Schedule for specific topics each semester. 3 undergraduate hours. 4 graduate hour. May be repeated in separate terms as topics vary to a maximum of 6 undergraduate hours or 12 graduate hours.,,SAME,South Asian and Middle Eastern Studies
160,Ancient Greek & Roman Religion,3 hours.,Study of Greek and Roman Paganism and the rise of Christianity within that context. Readings are confined to ancient sources in English translation. Same as REL 160.,"Humanities - Hist & Phil, and Cultural Studies - Western course.",CLCV,Classical Civilization
220,Intro to Public Policy,3 hours.,"Surveys the policy process including adoption, implementation, and evaluation. Topics may include reviews of substantive policy issues such as crime, energy, environment, poverty, foreign policy, civil liberties, or economic regulation. Prerequisite: PS 100 or PS 101, or consent of instructor.",,PS,Political Science
558,Faculty-Student Workshop,0 TO 4 hours.,Training and experience for Ph.D. students in the application of social science and industrial relations theory and research methodology to contemporary industrial relations problems through presentation and discussion of faculty and student research. Ph.D. students are required to make presentations and to participate in workshop discussions during the entire period of their campus residency. Approved for letter and S/U grading.,,LER,Labor and Employment Relations
394,Women in Finance Academy,1 hours.,"Given the unique challenges women face in the business world, this course provides the tools for women to thrive in careers in finance. The course includes a mentoring program, soft and technical skills development, panel discussions with women leaders, and networking opportunities. Admission by application process in the prior semester. May be repeated in separate terms. Prerequisite: Instructor approval required. Students accepted into the Academy will be allowed to participate in their Freshman, Sophomore, Junior, and Senior years.",,FIN,Finance
220,Undergraduate Performance Practice,1 TO 2 hours.,Performance laboratory involving the rehearsal and performance of student works under faculty supervision. Approved for S/U grading only. May be repeated. Prerequisite: For Dance majors. Dance minors may only enroll in this particular section: Senior Thesis Performance and Process Project.,,DANC,Dance
285,Indigenous Thinkers,3 hours.,An introduction to the English-language traditions of indigenous intellectuals. Specific topics vary. May be repeated in the same term to a maximum of 6 hours. May be repeated in subsequent terms to a maximum of 9 hours.,"Humanities - Hist & Phil, and Cultural Studies - Non-West course.",AIS,American Indian Studies
341,Leadership and Management,3 hours.,"MILS 341 is the third in a sequence of four college courses that comprise the Advanced Course, specifically designed for Army ROTC Advanced Course Cadets. This is an academically challenging course where you will study, practice, develop, and apply critical thinking skills pertaining to Army leadership, officer skills, Army Values and Ethics, personal development, and Army doctrine. This course includes reading assignments, homework assignments, small group assignments, briefings, case studies, practical exercises, a mid-term exam, and final exam. You will be assessed on your execution of missions during classroom PEs, Leadership Labs, and during the Field Training Exercise (FTX). You will receive systematic and specific feedback on your leader attributes, values, and core leader competencies from your cadre, PMS and other MS IV Cadets who will evaluate you using the Cadet Officer Evaluation Report (COER). You will be required to write peer evaluations and receive feedback on your abilities as a leader and how to improve those leader skills. Successful completion of this course will assist in preparing you for your BOLC B course and is a mandatory requirement for commissioning. Prerequisite: Successful completion of MILS 301/MILS 312 and MILS 302/MILS 314 is required to enroll in MILS 341. This course is intended for contracted Army ROTC Cadets who have successfully completed the Basic Course and the Military Science 301/312, 302/314 courses.",,MILS,Military Science
311,Leading Individuals and Teams,3 hours.,Understanding the behavior of employees in work organizations; particular attention to the motivation of individuals to join and perform in organizations and to employee satisfaction with elements of the work environment; and emphasis on various management strategies to modify employee motivation and satisfaction. Prerequisite: BADM 310.,,BADM,Business Administration
479,"Race, Medicine, and Society",3 OR 4 hours.,Same as ANTH 479 and LLS 479. See LLS 479.,,AAS,Asian American Studies
231,Strategic Models,3 hours.,"Introduces strategic models of political behavior and their implications for our understanding of politics. Uses simple models, inspired by game theory, to examine fundamental political questions.",,PS,Political Science
199,Undergraduate Open Seminar,1 TO 5 hours.,Approved for both letter and S/U grading. May be repeated.,,CLCV,Classical Civilization
390,Undergraduate Advanced Seminar,0 TO 9 hours.,"Advanced undergraduate seminar that includes historical, philosophical, legal, and social science perspectives on education. Same as EPS 390. Approved for Letter and S/U grading. May be repeated to a maximum of 9 hours.",,EPOL,"Education Policy, Organization and Leadership"
559,Micro Research Methods,4 hours.,"Provides doctoral students a foundation for conducting independent, scholarly micro research (i.e., individuals or small groups as the primary unit of analysis) by addressing the components of the research process. This foundation for conducting independent research is based on the research process as an open system of interconnected choices that unfold sequentially: (1) Choosing and framing a research question, (2) Choosing an hypothesis to address the research question, (3) Choosing a Strategy and Design, (4) Choosing modes for treating constructs, (5) Choosing Forms for Converting Data into Observations, (6) Choosing procedures to analyze data, and (7) Choosing conclusions for interpreting results. Prerequisite: Doctoral degree student in LER, Department of Psychology, Economics, College of Business, College of Education. Master's degree students who are considering a doctoral degree program subject to instructor approval.",,LER,Labor and Employment Relations
590,Independent Study,0 TO 4 hours.,Directed reading or research on selected topics for graduate students. 0 to 4 graduate hours. No professional credit. Approved for Letter and S/U grading. May be repeated in separate terms up to 8 hours. Prerequisite: Graduate standing and consent of instructor supervising the work.,,SAME,South Asian and Middle Eastern Studies
411,Investment & Portfolio Mngt,3 hours.,"Current theories of portfolio management are covered in considerable detail to provide a conceptual framework for the evaluation of investment strategies. Applications and implementation are covered in depth, including performance evaluation and international diversification. 3 undergraduate hours. No graduate credit. Prerequisite: FIN 300.",,FIN,Finance
215,Sophomore Gies Scholar Seminar,1 hours.,"Required for all Gies Scholar sophomores. The course structure is divided into four focused learning modules: Negotiations, Intercultural Communications, Disruption, and Project Management. Prerequisite: Second-year student in the Gies Scholar Program.",,BUS,Business
104,Skating Activities,1 hours.,Skills and knowledge essential for leisure-time activities which are classified as skating activities. Prerequisites for each skating activity are provided in the Class Schedule. Additional Ice Skating Rink Facility charges are required and provided in the Class Schedule. More than one activity (Sections A through Z) may be taken in the same term. Additional fees may apply. See Class Schedule.,,KIN,Kinesiology
391,Special Problems in Design,1 TO 4 hours.,"Directed independent creative activity or research. Additional fees may apply. See Class Schedule. May be repeated in separate terms to a maximum of 6 hours. Prerequisite: Junior standing in Art and Design; and consent of instructor, advisor, and associate director of the School. A contract must be completed & approved by the instructor & advisor. 3.3 GPA, & only 6 hours total Ind. Study.",,ARTD,Art--Design
295,US Citizenship Comparatively,3 hours.,"Same as AAS 215, AFRO 215, GWS 215, and LLS 215. See AAS 215.","Humanities - Hist & Phil, and Cultural Studies - US Minority course.",AIS,American Indian Studies
312,Designing and Managing Orgs,3 hours.,"Understanding of complex organizations; particular attention to ways of dividing work, achieving coordination, and issues connected with change and adaptation. Prerequisite: BADM 310.",,BADM,Business Administration
402,Asian American Education,4 hours.,Examination and analysis of Asian American education from the late 1800's to the present. Same as AAS 402 and EPS 402. 4 undergraduate hours. 4 graduate hours.,"Advanced Composition, and Cultural Studies - US Minority course.",EPOL,"Education Policy, Organization and Leadership"
203,Ancient Philosophy,4 hours.,Same as PHIL 203. See PHIL 203.,Humanities - Hist & Phil course.,CLCV,Classical Civilization
150,Organismal & Evolutionary Biol,4 hours.,"Introduction to physiology, genetics, and evolution of organisms, and their ecology and diversity.",Nat Sci & Tech - Life Sciences course.,IB,Integrative Biology
